league,season,date,team,h_a,result,pts,goals_scored,goals_missed,deep_passes,deep_passes_allowed,ppda,oppda
La_liga,2019,2020-07-19 19:00:00,Eibar,a,l,0,0,4,2,6,20.666666666666668,23.33333333333333
La_liga,2019,2019-08-17 20:00:00,Osasuna,a,w,3,1,0,2,7,9.833333333333334,6.423076923076923
La_liga,2019,2019-08-24 16:00:00,Osasuna,h,d,1,0,0,6,4,4.125,4.541666666666667
La_liga,2019,2019-08-31 16:00:00,Osasuna,h,d,1,2,2,5,2,12.0,4.1
La_liga,2019,2019-09-15 16:30:00,Osasuna,a,d,1,1,1,10,3,10.05,10.7
La_liga,2019,2019-09-20 19:00:00,Osasuna,h,d,1,0,0,4,3,7.774193548387097,18.63636363636364
La_liga,2019,2019-09-25 19:00:00,Osasuna,a,l,0,0,2,5,4,8.257142857142858,7.46875
La_liga,2019,2019-09-29 16:30:00,Osasuna,a,d,1,1,1,6,8,7.608695652173913,8.565217391304348
La_liga,2019,2019-10-05 20:00:00,Osasuna,h,w,3,2,1,10,5,13.444444444444445,14.466666666666669
La_liga,2019,2019-10-18 20:00:00,Osasuna,a,l,0,0,1,3,4,7.7894736842105265,8.11111111111111
La_liga,2019,2019-10-27 20:00:00,Osasuna,h,w,3,3,1,13,4,5.366666666666666,14.22222222222222
La_liga,2019,2019-10-31 18:00:00,Osasuna,a,d,1,2,2,4,7,12.066666666666666,16.5
La_liga,2019,2019-11-03 15:00:00,Osasuna,h,w,3,4,2,8,6,6.285714285714286,7.851851851851852
La_liga,2019,2019-11-10 17:30:00,Osasuna,a,d,1,0,0,2,2,7.9411764705882355,4.62962962962963
La_liga,2019,2019-11-24 13:00:00,Osasuna,h,l,0,1,2,4,1,5.555555555555555,7.032258064516129
La_liga,2019,2019-12-01 15:00:00,Osasuna,a,w,3,4,2,4,3,10.857142857142858,6.285714285714286
La_liga,2019,2019-12-08 20:00:00,Osasuna,h,d,1,1,1,2,5,8.470588235294118,8.555555555555555
La_liga,2019,2019-12-14 20:00:00,Osasuna,a,l,0,0,2,4,11,9.363636363636363,7.419354838709677
La_liga,2019,2019-12-22 13:00:00,Osasuna,h,l,0,3,4,13,10,11.2,10.0
La_liga,2019,2020-01-05 20:00:00,Osasuna,a,d,1,1,1,6,6,8.93939393939394,6.590909090909091
La_liga,2019,2020-01-18 17:30:00,Osasuna,h,d,1,0,0,10,2,7.95,10.38095238095238
La_liga,2019,2020-01-24 20:00:00,Osasuna,h,w,3,2,0,2,3,4.108108108108108,7.137931034482759
La_liga,2019,2020-02-02 17:30:00,Osasuna,a,l,0,1,3,5,4,8.964285714285714,7.555555555555555
La_liga,2019,2020-02-09 15:00:00,Osasuna,h,l,0,1,4,5,7,8.81081081081081,8.285714285714286
La_liga,2019,2020-02-16 17:30:00,Osasuna,a,w,3,1,0,3,8,15.7,5.909090909090909
La_liga,2019,2020-02-23 11:00:00,Osasuna,h,l,0,0,3,7,3,3.269230769230769,8.615384615384615
La_liga,2019,2020-03-01 11:00:00,Osasuna,a,l,0,2,3,3,8,8.741935483870968,5.823529411764706
La_liga,2019,2020-03-08 11:00:00,Osasuna,h,w,3,1,0,6,4,5.333333333333333,6.125
La_liga,2019,2020-06-14 20:00:00,Osasuna,a,d,1,1,1,4,5,17.5,11.23076923076923
La_liga,2019,2020-06-17 20:00:00,Osasuna,h,l,0,0,5,4,5,10.363636363636363,7.869565217391305
La_liga,2019,2020-06-21 17:30:00,Osasuna,a,l,0,0,2,4,2,10.055555555555555,11.470588235294118
La_liga,2019,2020-06-24 17:30:00,Osasuna,a,w,3,1,0,2,3,4.970588235294118,8.6875
La_liga,2019,2020-06-27 17:30:00,Osasuna,h,w,3,2,1,2,9,7.12,8.75
La_liga,2019,2020-07-02 17:30:00,Osasuna,a,w,3,2,0,4,3,9.63157894736842,7.9411764705882355
La_liga,2019,2020-07-05 17:30:00,Osasuna,h,d,1,0,0,3,1,5.625,4.114285714285714
La_liga,2019,2020-07-08 18:30:00,Osasuna,a,l,0,0,3,4,5,8.433333333333334,7.434782608695652
La_liga,2019,2020-07-11 15:00:00,Osasuna,h,w,3,2,1,9,4,7.5,10.764705882352942
La_liga,2019,2020-07-16 19:00:00,Osasuna,a,w,3,2,1,3,16,28.0,5.875
La_liga,2019,2020-07-19 19:00:00,Osasuna,h,d,1,2,2,6,4,6.714285714285714,7.1923076923076925
La_liga,2019,2019-08-18 16:00:00,Alaves,h,w,3,1,0,3,3,13.15,4.913043478260869
La_liga,2019,2019-08-25 16:00:00,Alaves,h,d,1,0,0,5,1,14.851851851851851,8.722222222222221
La_liga,2019,2019-08-31 18:00:00,Alaves,a,d,1,1,1,3,7,11.625,5.583333333333333
La_liga,2019,2019-09-15 12:00:00,Alaves,h,l,0,0,1,1,13,11.166666666666666,8.8
La_liga,2019,2019-09-22 16:30:00,Alaves,a,l,0,0,2,1,5,10.533333333333331,9.136363636363637
La_liga,2019,2019-09-26 19:00:00,Alaves,a,l,0,0,3,1,11,12.636363636363637,9.26086956521739
La_liga,2019,2019-09-29 14:00:00,Alaves,h,w,3,2,0,6,2,7.818181818181818,11.26086956521739
La_liga,2019,2019-10-05 17:30:00,Alaves,a,l,0,1,2,5,0,14.904761904761903,18.1
La_liga,2019,2019-10-20 11:00:00,Alaves,h,w,3,2,0,8,7,9.77777777777778,9.38888888888889
La_liga,2019,2019-10-25 20:00:00,Alaves,a,l,0,1,4,1,5,13.2,7.3
La_liga,2019,2019-10-29 18:00:00,Alaves,h,d,1,1,1,2,6,7.230769230769231,5.258064516129032
La_liga,2019,2019-11-03 15:00:00,Alaves,a,l,0,2,4,6,8,7.851851851851852,6.285714285714286
La_liga,2019,2019-11-09 12:00:00,Alaves,h,w,3,3,0,7,2,7.962962962962963,7.761904761904762
La_liga,2019,2019-11-24 15:00:00,Alaves,a,w,3,2,0,6,5,9.1875,4.333333333333333
La_liga,2019,2019-11-30 12:00:00,Alaves,h,l,0,1,2,2,9,17.666666666666668,7.6
La_liga,2019,2019-12-07 15:00:00,Alaves,a,l,0,0,3,2,4,9.588235294117649,7.0
La_liga,2019,2019-12-13 20:00:00,Alaves,h,d,1,1,1,4,4,3.607142857142857,14.26086956521739
La_liga,2019,2019-12-21 15:00:00,Alaves,a,l,0,1,4,0,12,21.952380952380956,6.642857142857143
La_liga,2019,2020-01-05 15:00:00,Alaves,h,d,1,1,1,1,7,8.432432432432432,5.666666666666667
La_liga,2019,2020-01-18 12:00:00,Alaves,a,w,3,1,0,7,7,6.9375,6.5
La_liga,2019,2020-01-25 17:30:00,Alaves,h,l,0,1,2,8,3,9.782608695652174,13.157894736842104
La_liga,2019,2020-02-02 17:30:00,Alaves,a,d,1,1,1,1,8,19.35,3.357142857142857
La_liga,2019,2020-02-07 20:00:00,Alaves,h,w,3,2,1,5,4,12.526315789473683,5.782608695652174
La_liga,2019,2020-02-15 12:00:00,Alaves,a,l,0,0,1,3,4,4.931034482758621,9.25
La_liga,2019,2020-02-23 13:00:00,Alaves,h,w,3,2,1,3,3,10.238095238095235,12.153846153846152
La_liga,2019,2020-02-29 17:30:00,Alaves,a,d,1,1,1,1,2,5.724137931034483,3.592592592592593
La_liga,2019,2020-03-06 20:00:00,Alaves,h,d,1,1,1,6,6,13.296296296296296,12.555555555555555
La_liga,2019,2020-06-13 12:00:00,Alaves,a,l,0,0,2,1,3,16.25,4.64
La_liga,2019,2020-06-18 17:30:00,Alaves,h,w,3,2,0,4,2,7.45945945945946,4.555555555555555
La_liga,2019,2020-06-21 12:00:00,Alaves,a,l,0,0,6,2,7,19.33333333333333,3.888888888888889
La_liga,2019,2020-06-24 17:30:00,Alaves,h,l,0,0,1,3,2,8.6875,4.970588235294118
La_liga,2019,2020-06-27 20:00:00,Alaves,a,l,0,1,2,2,7,30.846153846153847,5.125
La_liga,2019,2020-07-01 17:30:00,Alaves,h,l,0,0,2,5,5,4.8,7.115384615384615
La_liga,2019,2020-07-04 17:30:00,Alaves,a,l,0,0,1,1,0,11.761904761904765,11.411764705882351
La_liga,2019,2020-07-10 20:00:00,Alaves,a,l,0,0,2,3,14,14.205882352941176,12.538461538461538
La_liga,2019,2020-07-13 17:30:00,Alaves,h,d,1,0,0,2,8,3.607142857142857,4.178571428571429
La_liga,2019,2020-07-16 19:00:00,Alaves,a,w,3,2,1,5,13,33.666666666666664,6.529411764705882
La_liga,2019,2020-07-19 19:00:00,Alaves,h,l,0,0,5,4,11,17.46153846153846,6.6875
La_liga,2019,2019-08-17 20:00:00,Leganes,h,l,0,0,1,7,2,6.423076923076923,9.833333333333334
La_liga,2019,2019-08-25 18:00:00,Leganes,h,l,0,0,1,10,7,10.851851851851851,10.285714285714286
La_liga,2019,2019-08-31 19:00:00,Leganes,a,l,0,1,2,5,16,14.944444444444445,4.047619047619048
La_liga,2019,2019-09-14 14:00:00,Leganes,h,l,0,0,3,6,5,18.0,10.904761904761903
La_liga,2019,2019-09-22 14:00:00,Leganes,a,d,1,1,1,3,5,11.576923076923077,9.0
La_liga,2019,2019-09-25 17:00:00,Leganes,h,d,1,1,1,4,2,14.91304347826087,5.032258064516129
La_liga,2019,2019-09-28 16:30:00,Leganes,a,l,0,0,1,2,6,7.4,7.2
La_liga,2019,2019-10-05 12:00:00,Leganes,h,l,0,1,2,7,4,6.576923076923077,21.5
La_liga,2019,2019-10-19 17:30:00,Leganes,a,l,0,0,2,5,1,5.727272727272728,4.194444444444445
La_liga,2019,2019-10-26 15:00:00,Leganes,h,w,3,1,0,1,3,8.535714285714286,9.333333333333334
La_liga,2019,2019-10-30 20:15:00,Leganes,a,l,0,0,5,2,24,26.615384615384617,7.533333333333333
La_liga,2019,2019-11-03 17:30:00,Leganes,h,l,0,1,2,4,1,6.2,13.0
La_liga,2019,2019-11-08 20:00:00,Leganes,a,d,1,1,1,1,3,10.285714285714286,4.181818181818182
La_liga,2019,2019-11-23 12:00:00,Leganes,h,l,0,1,2,1,4,12.653846153846152,4.315789473684211
La_liga,2019,2019-12-01 11:00:00,Leganes,a,l,0,0,1,5,3,20.05555555555556,8.714285714285714
La_liga,2019,2019-12-08 17:30:00,Leganes,h,w,3,3,2,6,2,13.625,5.555555555555555
La_liga,2019,2019-12-13 20:00:00,Leganes,a,d,1,1,1,4,4,14.26086956521739,3.607142857142857
La_liga,2019,2019-12-22 11:00:00,Leganes,h,w,3,2,0,2,4,8.545454545454545,3.8260869565217392
La_liga,2019,2020-01-03 18:00:00,Leganes,a,d,1,2,2,6,6,12.038461538461538,4.666666666666667
La_liga,2019,2020-01-17 20:00:00,Leganes,h,l,0,0,3,3,3,3.5454545454545454,7.481481481481482
La_liga,2019,2020-01-26 11:00:00,Leganes,a,d,1,0,0,2,4,8.821428571428571,7.56
La_liga,2019,2020-02-02 11:00:00,Leganes,h,w,3,2,1,8,1,7.277777777777778,5.538461538461538
La_liga,2019,2020-02-08 12:00:00,Leganes,a,l,0,0,2,2,4,8.137931034482758,9.565217391304348
La_liga,2019,2020-02-16 13:00:00,Leganes,h,d,1,0,0,2,3,12.766666666666667,3.392857142857143
La_liga,2019,2020-02-22 12:00:00,Leganes,a,l,0,0,1,7,1,5.742857142857143,10.333333333333334
La_liga,2019,2020-02-29 17:30:00,Leganes,h,d,1,1,1,2,1,3.592592592592593,5.724137931034483
La_liga,2019,2020-03-08 17:30:00,Leganes,a,w,3,2,1,2,9,14.625,9.555555555555555
La_liga,2019,2020-06-13 17:30:00,Leganes,h,l,0,1,2,4,1,2.727272727272727,10.76
La_liga,2019,2020-06-16 20:00:00,Leganes,a,l,0,0,2,5,4,22.83333333333333,5.111111111111111
La_liga,2019,2020-06-19 17:30:00,Leganes,a,d,1,1,1,3,3,6.6,13.22222222222222
La_liga,2019,2020-06-22 20:00:00,Leganes,h,d,1,0,0,3,0,5.068965517241379,9.083333333333334
La_liga,2019,2020-06-27 17:30:00,Leganes,a,l,0,1,2,9,2,8.75,7.12
La_liga,2019,2020-06-30 19:00:00,Leganes,h,l,0,0,3,2,3,10.12121212121212,9.869565217391305
La_liga,2019,2020-07-05 15:00:00,Leganes,a,w,3,1,0,3,2,14.192307692307692,5.21875
La_liga,2019,2020-07-09 17:30:00,Leganes,a,d,1,0,0,4,0,9.263157894736842,2.857142857142857
La_liga,2019,2020-07-12 17:30:00,Leganes,h,w,3,1,0,1,7,12.666666666666666,8.75
La_liga,2019,2020-07-16 19:00:00,Leganes,a,w,3,2,0,8,5,13.346153846153848,5.655172413793103
La_liga,2019,2020-07-19 19:00:00,Leganes,h,d,1,2,2,7,11,15.423076923076923,10.058823529411764
La_liga,2019,2019-08-18 20:00:00,Real Valladolid,a,w,3,2,1,2,3,8.133333333333333,23.818181818181817
La_liga,2019,2019-08-24 18:00:00,Real Valladolid,a,d,1,1,1,2,13,18.944444444444443,7.72
La_liga,2019,2019-08-31 18:00:00,Real Valladolid,a,l,0,0,2,7,8,8.789473684210526,8.80952380952381
La_liga,2019,2019-09-15 16:30:00,Real Valladolid,h,d,1,1,1,3,10,10.7,10.05
La_liga,2019,2019-09-21 11:00:00,Real Valladolid,a,l,0,0,2,1,6,16.22222222222222,5.0
La_liga,2019,2019-09-24 17:00:00,Real Valladolid,h,d,1,1,1,2,3,10.090909090909092,7.461538461538462
La_liga,2019,2019-09-29 10:00:00,Real Valladolid,a,w,3,2,0,6,9,13.45,5.866666666666666
La_liga,2019,2019-10-06 15:00:00,Real Valladolid,h,d,1,0,0,2,5,13.588235294117649,7.0344827586206895
La_liga,2019,2019-10-20 17:30:00,Real Valladolid,a,d,1,1,1,3,1,14.0,9.041666666666666
La_liga,2019,2019-10-26 17:30:00,Real Valladolid,h,w,3,2,0,2,4,14.5,6.090909090909091
La_liga,2019,2019-10-29 20:15:00,Real Valladolid,a,l,0,1,5,2,12,12.961538461538462,10.521739130434783
La_liga,2019,2019-11-03 11:00:00,Real Valladolid,h,w,3,3,0,6,6,7.518518518518518,7.222222222222222
La_liga,2019,2019-11-09 12:00:00,Real Valladolid,a,l,0,0,3,2,7,7.761904761904762,7.962962962962963
La_liga,2019,2019-11-24 20:00:00,Real Valladolid,h,l,0,0,1,4,7,7.764705882352941,7.88
La_liga,2019,2019-11-29 20:00:00,Real Valladolid,a,d,1,0,0,2,9,9.466666666666669,10.210526315789474
La_liga,2019,2019-12-08 15:00:00,Real Valladolid,h,d,1,0,0,1,12,13.08,4.25
La_liga,2019,2019-12-15 11:00:00,Real Valladolid,a,l,0,0,2,1,9,7.555555555555555,5.973684210526316
La_liga,2019,2019-12-21 20:00:00,Real Valladolid,h,d,1,1,1,5,4,11.56,13.75
La_liga,2019,2020-01-03 18:00:00,Real Valladolid,h,d,1,2,2,6,6,4.666666666666667,12.038461538461538
La_liga,2019,2020-01-18 17:30:00,Real Valladolid,a,d,1,0,0,2,10,10.38095238095238,7.95
La_liga,2019,2020-01-26 20:00:00,Real Valladolid,h,l,0,0,1,4,3,18.11111111111111,5.914285714285715
La_liga,2019,2020-02-01 17:30:00,Real Valladolid,a,w,3,1,0,4,2,11.272727272727272,9.05
La_liga,2019,2020-02-08 17:30:00,Real Valladolid,h,d,1,1,1,2,7,10.8,3.928571428571429
La_liga,2019,2020-02-15 20:00:00,Real Valladolid,a,l,0,1,2,3,2,9.863636363636363,5.516129032258065
La_liga,2019,2020-02-23 15:00:00,Real Valladolid,h,w,3,2,1,3,1,13.5,11.0
La_liga,2019,2020-02-28 20:00:00,Real Valladolid,a,l,0,0,1,0,10,16.266666666666666,6.962962962962963
La_liga,2019,2020-03-08 13:00:00,Real Valladolid,h,l,0,1,4,3,1,8.35,7.84375
La_liga,2019,2020-06-13 17:30:00,Real Valladolid,a,w,3,2,1,1,4,10.76,2.727272727272727
La_liga,2019,2020-06-17 17:30:00,Real Valladolid,h,d,1,0,0,1,6,9.857142857142858,8.5
La_liga,2019,2020-06-20 20:00:00,Real Valladolid,a,l,0,0,1,0,5,19.41176470588235,6.32258064516129
La_liga,2019,2020-06-23 17:30:00,Real Valladolid,h,d,1,1,1,2,5,11.416666666666666,5.333333333333333
La_liga,2019,2020-06-26 20:00:00,Real Valladolid,a,d,1,1,1,1,7,17.772727272727273,5.238095238095238
La_liga,2019,2020-07-01 20:00:00,Real Valladolid,h,d,1,0,0,11,6,16.3125,12.0625
La_liga,2019,2020-07-04 17:30:00,Real Valladolid,h,w,3,1,0,0,1,11.411764705882351,11.761904761904765
La_liga,2019,2020-07-07 17:30:00,Real Valladolid,a,l,0,1,2,1,3,17.61904761904762,13.2
La_liga,2019,2020-07-11 17:30:00,Real Valladolid,h,l,0,0,1,1,10,21.285714285714285,7.517241379310345
La_liga,2019,2020-07-16 16:30:00,Real Valladolid,a,l,0,1,3,2,3,8.19047619047619,5.225806451612903
La_liga,2019,2020-07-19 16:30:00,Real Valladolid,h,w,3,2,0,9,6,17.65,9.375
La_liga,2019,2019-08-17 19:00:00,Mallorca,h,w,3,2,1,3,6,15.176470588235292,6.954545454545454
La_liga,2019,2019-08-25 16:00:00,Mallorca,h,l,0,0,1,6,7,16.714285714285715,8.176470588235293
La_liga,2019,2019-09-01 16:00:00,Mallorca,a,l,0,0,2,7,5,10.04,13.421052631578949
La_liga,2019,2019-09-13 19:00:00,Mallorca,h,d,1,0,0,5,3,9.421052631578949,5.833333333333333
La_liga,2019,2019-09-22 10:00:00,Mallorca,a,l,0,2,4,1,13,5.166666666666667,6.85
La_liga,2019,2019-09-25 17:00:00,Mallorca,h,l,0,0,2,3,10,20.0,8.73076923076923
La_liga,2019,2019-09-29 14:00:00,Mallorca,a,l,0,0,2,2,6,11.26086956521739,7.818181818181818
La_liga,2019,2019-10-06 11:00:00,Mallorca,h,w,3,2,0,1,5,19.142857142857142,6.785714285714286
La_liga,2019,2019-10-19 20:00:00,Mallorca,h,w,3,1,0,1,8,13.909090909090908,5.225806451612903
La_liga,2019,2019-10-26 15:00:00,Mallorca,a,l,0,0,1,3,1,9.333333333333334,8.535714285714286
La_liga,2019,2019-10-31 18:00:00,Mallorca,h,d,1,2,2,7,4,16.5,12.066666666666666
La_liga,2019,2019-11-03 11:00:00,Mallorca,a,l,0,0,3,6,6,7.222222222222222,7.518518518518518
La_liga,2019,2019-11-10 11:00:00,Mallorca,h,w,3,3,1,2,8,11.538461538461538,5.366666666666666
La_liga,2019,2019-11-22 20:00:00,Mallorca,a,l,0,1,2,9,6,13.11111111111111,11.95
La_liga,2019,2019-11-30 17:30:00,Mallorca,h,l,0,1,2,10,6,10.25,9.285714285714286
La_liga,2019,2019-12-07 20:00:00,Mallorca,a,l,0,2,5,2,42,20.235294117647054,5.777777777777778
La_liga,2019,2019-12-15 13:00:00,Mallorca,a,d,1,2,2,0,4,7.6875,4.681818181818182
La_liga,2019,2019-12-21 12:00:00,Mallorca,h,l,0,0,2,5,7,7.219512195121951,5.791666666666667
La_liga,2019,2020-01-05 11:00:00,Mallorca,a,l,0,0,1,4,7,12.384615384615383,6.705882352941177
La_liga,2019,2020-01-19 11:00:00,Mallorca,h,w,3,4,1,5,11,13.347826086956522,8.904761904761905
La_liga,2019,2020-01-26 17:30:00,Mallorca,a,l,0,0,3,2,9,18.61904761904762,4.90625
La_liga,2019,2020-02-01 17:30:00,Mallorca,h,l,0,0,1,2,4,9.05,11.272727272727272
La_liga,2019,2020-02-09 11:00:00,Mallorca,a,l,0,0,1,2,6,7.619047619047619,6.340909090909091
La_liga,2019,2020-02-15 12:00:00,Mallorca,h,w,3,1,0,4,3,9.25,4.931034482758621
La_liga,2019,2020-02-21 20:00:00,Mallorca,a,d,1,3,3,5,13,16.285714285714285,7.05
La_liga,2019,2020-03-01 17:30:00,Mallorca,h,l,0,0,1,1,2,6.380952380952381,4.340909090909091
La_liga,2019,2020-03-07 12:00:00,Mallorca,a,w,3,2,1,1,8,21.181818181818183,3.9375
La_liga,2019,2020-06-13 20:00:00,Mallorca,h,l,0,0,4,2,19,21.047619047619047,8.409090909090908
La_liga,2019,2020-06-16 17:30:00,Mallorca,a,l,0,0,1,7,5,12.125,9.28
La_liga,2019,2020-06-19 17:30:00,Mallorca,h,d,1,1,1,3,3,13.22222222222222,6.6
La_liga,2019,2020-06-24 20:00:00,Mallorca,a,l,0,0,2,0,8,14.608695652173912,7.8076923076923075
La_liga,2019,2020-06-27 16:30:00,Mallorca,a,l,0,1,3,2,6,11.952380952380953,13.4
La_liga,2019,2020-06-30 23:00:00,Mallorca,h,w,3,5,1,1,13,14.590909090909092,10.08695652173913
La_liga,2019,2020-07-03 20:00:00,Mallorca,a,l,0,0,3,4,18,14.68421052631579,9.379310344827584
La_liga,2019,2020-07-09 17:30:00,Mallorca,h,w,3,2,0,4,4,10.043478260869565,5.294117647058823
La_liga,2019,2020-07-12 20:00:00,Mallorca,a,l,0,0,2,2,8,17.210526315789473,6.413793103448276
La_liga,2019,2020-07-16 19:00:00,Mallorca,h,l,0,1,2,3,9,9.5,7.0
La_liga,2019,2020-07-19 19:00:00,Mallorca,a,d,1,2,2,4,6,7.1923076923076925,6.714285714285714
Ligue_1,2014,2014-08-09 20:00:00,Lille,h,d,1,0,0,5,0,3.608695652173913,21.05555555555556
Ligue_1,2014,2014-08-15 19:30:00,Lille,a,w,3,1,0,1,0,9.047619047619047,10.64864864864865
Ligue_1,2014,2014-08-23 19:00:00,Lille,h,w,3,2,0,5,0,6.0588235294117645,29.642857142857142
Ligue_1,2014,2014-08-30 16:00:00,Lille,a,d,1,1,1,2,7,15.666666666666666,8.615384615384615
Ligue_1,2014,2014-09-14 13:00:00,Lille,h,w,3,2,0,2,2,6.730769230769231,13.904761904761903
Ligue_1,2014,2014-09-21 13:00:00,Lille,h,d,1,0,0,7,3,6.727272727272728,9.75
Ligue_1,2014,2014-09-24 18:00:00,Lille,a,l,0,0,1,5,3,6.970588235294118,8.25
Ligue_1,2014,2014-09-27 19:00:00,Lille,h,w,3,1,0,4,3,6.4,12.5
Ligue_1,2014,2014-10-05 16:00:00,Lille,a,l,0,0,3,3,4,6.205128205128205,11.5
Ligue_1,2014,2014-10-18 19:00:00,Lille,h,l,0,1,2,8,4,6.555555555555555,15.904761904761903
Ligue_1,2014,2014-10-26 13:00:00,Lille,a,l,0,0,2,0,8,13.454545454545457,8.708333333333334
Ligue_1,2014,2014-11-01 19:00:00,Lille,h,d,1,1,1,3,0,14.428571428571429,20.285714285714285
Ligue_1,2014,2014-11-09 16:00:00,Lille,a,l,0,0,2,1,2,14.0,16.0625
Ligue_1,2014,2014-11-30 13:00:00,Lille,a,l,0,0,1,3,3,13.0,11.857142857142858
Ligue_1,2014,2014-12-03 20:00:00,Lille,h,d,1,1,1,1,9,14.416666666666666,5.806451612903226
Ligue_1,2014,2014-12-07 16:00:00,Lille,a,d,1,1,1,4,6,8.826086956521738,6.0
Ligue_1,2014,2014-12-14 16:00:00,Lille,h,w,3,3,0,6,1,4.073170731707317,12.966666666666669
Ligue_1,2014,2014-12-21 13:00:00,Lille,a,l,0,1,2,5,4,9.096774193548388,5.3478260869565215
Ligue_1,2014,2015-01-07 19:30:00,Lille,h,w,3,1,0,4,3,6.333333333333333,10.0
Ligue_1,2014,2015-01-10 19:00:00,Lille,h,w,3,1,0,6,1,7.846153846153846,11.033333333333331
Ligue_1,2014,2015-01-17 19:00:00,Lille,a,l,0,0,1,5,3,11.428571428571429,6.7
Ligue_1,2014,2015-01-24 16:00:00,Lille,h,l,0,0,1,9,7,6.5,7.275862068965517
Ligue_1,2014,2015-01-31 19:00:00,Lille,a,d,1,1,1,4,1,17.5,7.857142857142857
Ligue_1,2014,2015-02-07 19:00:00,Lille,a,w,3,2,1,3,4,8.074074074074074,7.344827586206897
Ligue_1,2014,2015-02-14 19:00:00,Lille,h,d,1,0,0,0,2,5.083333333333333,4.1891891891891895
Ligue_1,2014,2015-02-21 19:00:00,Lille,a,l,0,1,2,6,2,7.428571428571429,5.914285714285715
Ligue_1,2014,2015-02-28 15:00:00,Lille,h,w,3,2,1,6,3,10.193548387096774,4.857142857142857
Ligue_1,2014,2015-03-08 16:00:00,Lille,a,w,3,1,0,8,0,7.16,9.413793103448276
Ligue_1,2014,2015-03-15 13:00:00,Lille,h,w,3,3,0,3,9,12.272727272727272,13.875
Ligue_1,2014,2015-03-22 13:00:00,Lille,a,l,0,0,2,2,6,11.214285714285714,10.551724137931034
Ligue_1,2014,2015-04-04 19:00:00,Lille,h,w,3,3,1,4,2,7.56,7.970588235294118
Ligue_1,2014,2015-04-12 16:00:00,Lille,a,w,3,1,0,5,5,10.3,14.791666666666666
Ligue_1,2014,2015-04-19 13:00:00,Lille,h,w,3,2,0,5,8,7.935483870967742,4.230769230769231
Ligue_1,2014,2015-04-25 16:00:00,Lille,a,l,0,1,6,5,12,19.217391304347824,9.323529411764708
Ligue_1,2014,2015-05-03 13:00:00,Lille,h,w,3,3,1,9,1,8.166666666666666,11.444444444444445
Ligue_1,2014,2015-05-09 19:00:00,Lille,a,l,0,2,3,8,7,9.0,12.423076923076923
Ligue_1,2014,2015-05-16 20:00:00,Lille,h,l,0,0,4,2,8,6.0,4.545454545454546
Ligue_1,2014,2015-05-23 20:00:00,Lille,a,w,3,4,1,11,7,17.0,16.238095238095237
Ligue_1,2014,2014-08-08 19:30:00,Paris Saint Germain,a,d,1,2,2,11,2,7.5,31.6
Ligue_1,2014,2014-08-16 16:00:00,Paris Saint Germain,h,w,3,2,0,6,1,6.7407407407407405,24.38095238095238
Ligue_1,2014,2014-08-22 19:30:00,Paris Saint Germain,a,d,1,0,0,6,3,9.083333333333334,21.0
Ligue_1,2014,2014-08-31 20:00:00,Paris Saint Germain,h,w,3,5,0,6,2,10.35,16.966666666666665
Ligue_1,2014,2014-09-13 16:00:00,Paris Saint Germain,a,d,1,1,1,9,2,7.933333333333334,25.5
Ligue_1,2014,2014-09-21 20:00:00,Paris Saint Germain,h,d,1,1,1,9,5,6.6571428571428575,17.153846153846153
Ligue_1,2014,2014-09-24 20:00:00,Paris Saint Germain,a,w,3,2,0,6,2,8.173913043478262,20.923076923076923
Ligue_1,2014,2014-09-27 16:00:00,Paris Saint Germain,a,d,1,1,1,4,5,6.882352941176471,9.228571428571428
Ligue_1,2014,2014-10-05 20:00:00,Paris Saint Germain,h,d,1,1,1,7,5,7.851851851851852,9.414634146341465
Ligue_1,2014,2014-10-17 19:30:00,Paris Saint Germain,a,w,3,3,1,9,2,5.62962962962963,23.210526315789476
Ligue_1,2014,2014-10-25 16:00:00,Paris Saint Germain,h,w,3,3,0,8,1,7.0588235294117645,19.772727272727277
Ligue_1,2014,2014-11-01 16:00:00,Paris Saint Germain,a,w,3,2,1,4,5,9.0,11.23076923076923
Ligue_1,2014,2014-11-09 20:00:00,Paris Saint Germain,h,w,3,2,0,11,5,6.0,5.358974358974359
Ligue_1,2014,2014-11-21 19:30:00,Paris Saint Germain,a,w,3,3,2,12,4,6.842105263157895,17.48148148148148
Ligue_1,2014,2014-11-29 16:00:00,Paris Saint Germain,h,w,3,1,0,7,3,5.7631578947368425,9.951219512195122
Ligue_1,2014,2014-12-03 20:00:00,Paris Saint Germain,a,d,1,1,1,9,1,5.806451612903226,14.416666666666666
Ligue_1,2014,2014-12-06 16:00:00,Paris Saint Germain,h,w,3,2,1,7,3,5.782608695652174,11.055555555555555
Ligue_1,2014,2014-12-14 16:00:00,Paris Saint Germain,a,l,0,0,1,13,4,2.892857142857143,16.35
Ligue_1,2014,2014-12-20 16:00:00,Paris Saint Germain,h,d,1,0,0,13,1,4.512820512820513,12.9
Ligue_1,2014,2015-01-10 16:00:00,Paris Saint Germain,a,l,0,2,4,8,0,7.956521739130435,8.904761904761905
Ligue_1,2014,2015-01-18 13:00:00,Paris Saint Germain,h,w,3,4,2,11,1,5.5588235294117645,18.115384615384617
